"Month","Daily Average POA Irradiance (kWh/m2/day)","DC Array Output (kWh)","AC System Output (kWh)"
"1","2.596","3672.654","3474.53"
"2","3.26","4191.365","3975.724"
"3","4.04","5730.541","5446.557"
"4","5.23","7071.159","6735.253"
"5","6.267","8645.987","8247.299"
"6","6.538","8692.537","8292.262"
"7","6.656","9072.223","8655.368"
"8","6.104","8296.915","7912.131"
"9","5.479","7225.627","6885.563"
"10","4.134","5715.926","5438.376"
"11","3.07","4153.787","3935.295"
"12","2.437","3444.69","3252.748"
